"운영기관별(1)",2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"운영기관별(1)",노선수 (개),역수 (개),영업거리 (km),선로연장 (km),차량 수 (칸),승차인원 (천명/년),수송인원 (천명/년),승차실적(인-거리) (백만인-km/년),수송실적(인-거리) (백만인-km/년),노선수 (개),역수 (개),영업거리 (km),선로연장 (km),차량 수 (칸),승차인원 (천명/년),수송인원 (천명/년),승차실적(인-거리) (백만인-km/년),수송실적(인-거리) (백만인-km/년),노선수 (개),역수 (개),영업거리 (km),선로연장 (km),차량 수 (칸),승차인원 (천명/년),수송인원 (천명/년),승차실적(인-거리) (백만인-km/년),수송실적(인-거리) (백만인-km/년),노선수 (개),역수 (개),영업거리 (km),철도거리 (km),선로연장 (km),차량 수 (칸),승차인원 (천명/년),수송인원 (천명/년),승차실적(인-거리) (백만인-km/년),수송실적(인-거리) (백만인-km/년),노선수 (개),역수 (개),영업거리 (km),철도거리 (km),선로연장 (km),차량 수 (칸),승차인원 (천명/년),수송인원 (천명/년),승차실적(인-거리) (백만인-km/년),수송실적(인-거리) (백만인-km/년)
"서울교통공사",8,277,300.0,539.0,3551,1751579,2654317,21091,-,8,277,300.0,539.0,3551,1751579,2654317,21091,34045,8,278,301.0,539.0,3551,1769156,2671425,21086,34045,8,280,306.0,319.0,853.0,3583,1282565,1934464,15516,-,8,284,308.0,322.0,859.0,3563,1291497,1951034,15676,-
"서울메트로 9호선㈜(1단계)",1,25,31.5,42.8,144,94831,157561,118,196,1,25,27.0,28.0,166,95772,160093,1191,1986,1,25,27.0,28.0,216,100296,170083,1260,2539,1,25,27.0,28.0,87.0,216,75741,126255,1052,1629,1,25,27.0,28.0,87.0,216,79081,131778,1097,1678
"서울메트로 9호선운영㈜(2단계)",-,5,-,-,54,14038,24627,182,367,-,13,14.0,31.0,54,15843,27437,258,530,-,13,14.0,14.0,54,30563,54825,397,737,-,13,14.0,14.0,30.0,54,25018,44662,335,618,-,13,14.0,14.0,30.0,54,27009,48321,362,674
"부산교통공사",4,114,115.0,119.0,926,338850,338850,3017,3017,4,114,115.0,119.0,926,336243,336243,2978,2978,4,114,115.0,118.0,926,342549,342549,3022,3022,4,114,115.0,118.0,236.0,926,246945,246945,2140,2140,4,114,115.0,118.0,236.0,926,253924,253924,2191,2191
"대구도시철도공사",3,91,83.0,87.0,468,163349,163349,1343,1343,3,91,83.0,88.0,468,162837,162837,1334,1334,3,91,83.0,88.0,468,167628,167628,1365,1365,3,91,83.0,88.0,-,468,110237,110237,882,882,3,91,83.0,88.0,-,468,122167,122167,987,987
"인천교통공사",2,56,59.0,94.0,346,109366,156707,1365,2212,2,56,59.0,94.0,346,112344,161440,1406,2318,2,56,59.0,94.0,346,115815,166067,1451,2392,2,57,59.5,63.1,153.8,346,85586,122041,1063,1748,3,59,63.7,67.3,162.4,362,93295,133709,1162,1928
"광주광역시 도시철도공사",1,20,21.0,21.0,92,18709,18709,1,135,1,20,21.0,21.0,92,18883,18883,137,137,1,20,21.0,21.0,92,19319,19319,141,141,1,20,21.0,21.0,-,92,13583,13583,99,99,1,20,21.0,21.0,-,92,14401,14401,107,107
"대전교통공사",1,22,21.0,23.0,84,39702,39702,261,261,1,22,21.0,23.0,84,39719,39719,263,263,1,22,21.0,23.0,84,40262,40262,268,268,1,22,21.0,23.0,67.0,84,26229,26229,174,174,1,22,21.0,23.0,67.0,84,27346,27346,183,183
"부산-김해 경전철㈜",1,21,23.0,29.0,50,18854,18854,156,156,1,21,23.0,29.0,50,18323,18323,151,151,1,21,23.0,29.0,50,18480,18480,150,150,1,21,23.0,29.0,-,50,12719,12719,103,103,1,21,23.0,29.0,-,50,13550,13550,107,107
"의정부 경전철㈜",1,15,11.0,11.0,30,11746,13730,38,55,1,15,11.0,11.0,30,12211,14296,40,50,1,15,11.0,11.0,30,12953,15127,-,-,1,15,10.0,11.0,25.0,30,9774,11369,32,40,1,15,10.0,11.0,25.0,30,10511,12217,41,44
"용인 경량전철㈜",1,15,18.0,20.0,30,7306,10087,51,77,1,15,18.0,20.0,30,7980,11005,55,83,1,15,18.0,20.0,30,8848,12074,61,88,1,15,18.0,18.0,21.0,30,6403,8407,41,57,1,15,18.0,18.0,21.0,30,7056,9293,50,65
"우이신설 경전철(주)",1,13,11.0,11.4,36,4576,8216,46,92,1,13,11.0,11.0,36,15152,25792,159,292,1,13,11.0,11.0,36,16157,27310,169,308,1,13,11.0,11.4,24.3,36,12545,21121,129,235,1,13,11.0,11.4,24.3,36,13266,22155,137,249
"김포골드라인(주)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10,23.5,23.7,-,46,13380,20055,263,394
