연번,출발역코드,출발역명,도착역코드,도착역명,역간이용인원(2021년10월)
1,150,서울역(1),150,서울역(1),15005
2,150,서울역(1),151,시청(1),19827
3,150,서울역(1),152,종각,27001
4,150,서울역(1),153,종로3가(1),14785
5,150,서울역(1),154,종로5가,14642
6,150,서울역(1),155,동대문(1),6337
7,150,서울역(1),156,신설동(1),8380
8,150,서울역(1),157,제기동,10182
9,150,서울역(1),158,청량리,16891
10,150,서울역(1),159,동묘앞(1),6425
11,150,서울역(1),201,시청(2),1234
12,150,서울역(1),202,을지로입구,2699
13,150,서울역(1),203,을지로3가(2),1983
14,150,서울역(1),204,을지로4가(2),1167
15,150,서울역(1),205,동대문역사문화공원(2),2655
16,150,서울역(1),206,신당(2),2303
17,150,서울역(1),207,상왕십리,2224
18,150,서울역(1),208,왕십리(2),2487
19,150,서울역(1),209,한양대,1178
20,150,서울역(1),210,뚝섬,2814
21,150,서울역(1),211,성수,3723
22,150,서울역(1),212,건대입구(2),4250
23,150,서울역(1),213,구의,2482
24,150,서울역(1),214,강변,2615
25,150,서울역(1),215,잠실나루,2023
26,150,서울역(1),216,잠실(2),4133
27,150,서울역(1),217,잠실새내,1103
28,150,서울역(1),218,종합운동장(2),257
29,150,서울역(1),219,삼성,1636
30,150,서울역(1),220,선릉,1948
31,150,서울역(1),221,역삼,2073
32,150,서울역(1),222,강남,3846
33,150,서울역(1),223,교대(2),1757
34,150,서울역(1),224,서초,1117
35,150,서울역(1),225,방배,1749
36,150,서울역(1),226,사당(2),4614
37,150,서울역(1),227,낙성대,3536
38,150,서울역(1),228,서울대입구,3714
39,150,서울역(1),229,봉천,1551
40,150,서울역(1),230,신림,5038
41,150,서울역(1),231,신대방,2806
42,150,서울역(1),232,구로디지털단지,4476
43,150,서울역(1),233,대림(2),2969
44,150,서울역(1),234,신도림,12598
45,150,서울역(1),235,문래,1809
46,150,서울역(1),236,영등포구청(2),1698
47,150,서울역(1),237,당산,1320
48,150,서울역(1),238,합정(2),3235
49,150,서울역(1),239,홍대입구,4252
50,150,서울역(1),240,신촌,5694
51,150,서울역(1),241,이대,2884
