연번,호선,역번호,역명,2020년1월,2020년2월,2020년3월,2020년4월,2020년5월,2020년6월,2020년7월,2020년8월,2020년9월,2020년10월,2020년11월,2020년12월
1,1,150,서울역(1),1656310,1165571,820317,919843,1086370,1127913,1221712,1015733,863001,1094090,1139047,846293
2,1,151,시청(1),733284,572773,441666,436556,480932,517110,560611,461172,427762,493683,533992,431330
3,1,152,종각,1258392,987940,744697,805716,884760,954524,1044657,821808,694840,858673,893607,670083
4,1,153,종로3가(1),992098,728608,562310,628279,709067,703246,785596,623609,546019,674534,674692,498153
5,1,154,종로5가,765406,574483,471234,519004,589582,589455,627931,506893,495066,558971,550003,466896
6,1,155,동대문(1),409905,306113,255104,287045,331590,323447,333736,274647,279474,327192,318236,260135
7,1,156,신설동(1),443545,376486,318020,334651,369103,386182,396269,320221,322053,362305,359690,309936
8,1,157,제기동,599324,425406,364978,418534,457006,442072,466338,397046,452082,476013,467123,388882
9,1,158,청량리,720497,534385,457758,508503,567414,563339,592333,506837,523240,568266,561022,467430
10,1,159,동묘앞(1),302220,222339,205847,238937,271081,259233,262064,209438,233547,282736,258220,212975
11,2,201,시청(2),725183,611481,493861,489161,517187,565740,607769,494004,467306,523330,570558,465175
12,2,202,을지로입구,1456980,1074973,802483,833369,902046,991399,1066112,870916,797421,919731,969203,812800
13,2,203,을지로3가(2),654860,558340,438280,452804,480153,523911,575372,457867,415462,483125,514334,414212
14,2,204,을지로4가(2),381024,320707,271152,283992,306178,323766,341163,279220,284307,304103,320076,286022
15,2,205,동대문역사문화공원(2),499090,377425,274956,292303,332515,344119,364013,292988,281537,340103,338523,270318
16,2,206,신당(2),423663,359442,310445,329057,358133,366097,386637,327532,323021,359655,363577,309011
17,2,207,상왕십리,410048,352106,300516,315089,343358,362505,386782,326875,308434,349540,361106,299106
18,2,208,왕십리(2),531495,445013,362792,383222,420437,433604,467597,391423,354438,424273,431193,330260
19,2,209,한양대,228095,171425,145240,155393,174584,208170,191966,160151,155897,195538,205952,157755
20,2,210,뚝섬,550920,497911,455204,472255,489562,509993,554092,449500,438648,498763,518334,417773
21,2,211,성수,869113,793142,732226,738038,754402,808871,869139,725269,703614,771423,816984,691938
22,2,212,건대입구(2),1229823,968264,818035,869218,935560,924989,1023167,849934,747207,935268,933865,694944
23,2,213,구의,703030,614770,544753,563542,601326,625916,659398,558939,523726,588192,603178,515992
24,2,214,강변,1255583,932761,709724,762622,897505,895482,963722,813488,694633,875085,856499,638055
25,2,215,잠실나루,447487,353211,290039,309931,349280,372875,398350,323843,304392,353239,360301,292479
26,2,216,잠실(2),2455713,1840365,1483615,1542836,1731340,1730985,1911482,1593685,1389336,1747280,1757628,1345213
27,2,217,잠실새내,685658,557837,444256,478137,526046,545340,584832,484569,433176,514751,523945,421160
28,2,218,종합운동장(2),277758,196023,145249,153080,182575,192647,213491,186178,155176,214779,208278,144515
29,2,219,삼성,1660151,1338834,1016122,1069837,1192784,1342777,1454347,1204968,1028087,1202238,1296773,1018094
30,2,220,선릉,1553369,1394932,1188739,1237115,1309153,1425274,1511508,1229749,1141029,1277109,1360512,1146052
31,2,221,역삼,1385973,1248366,1031777,1053283,1113799,1221441,1321431,1089101,996460,1087241,1180799,1005565
32,2,222,강남,2963094,2428836,1885641,2025530,2160700,2252161,2558732,2060389,1678626,2084264,2168637,1611766
33,2,223,교대(2),1009373,857411,721551,744877,822926,887742,946195,769594,706187,805245,853339,685119
34,2,224,서초,629975,554293,430989,452268,524993,576241,584336,480334,444195,518780,567742,440742
35,2,225,방배,504346,424331,348702,371623,415060,445494,461440,380506,366046,434098,456258,345638
36,2,226,사당(2),1233298,1010726,823882,891713,986838,1016413,1090874,898385,817344,990509,993845,759760
37,2,227,낙성대,837761,725193,615226,655154,711980,741596,787115,674312,635618,717508,728189,600239
38,2,228,서울대입구,1495580,1291275,1082229,1143541,1249195,1293143,1383200,1175855,1080173,1249937,1259318,1021783
39,2,229,봉천,723191,637048,545270,577256,626550,646622,680196,592925,564025,625612,636569,538686
40,2,230,신림,2007494,1740631,1503541,1569228,1677263,1711413,1790988,1572311,1477141,1656831,1684516,1423673
41,2,231,신대방,825584,702756,609246,644427,697277,714192,746479,654188,626148,696981,700518,599754
42,2,232,구로디지털단지,1821301,1579306,1334194,1387566,1482058,1568567,1667566,1414592,1333677,1508321,1559464,1296907
43,2,233,대림(2),823110,643635,544258,590348,661163,674111,708309,621525,597635,675817,674926,569595
44,2,234,신도림,1647136,1364694,1047010,1157876,1299285,1342058,1439502,1219846,1111613,1293542,1317811,1065101
45,2,235,문래,585556,510769,440243,462696,500209,535778,569748,472972,450267,510880,534147,439687
46,2,236,영등포구청(2),638068,569598,495810,513679,543284,581323,611789,513574,497419,552295,580557,500626
47,2,237,당산,573969,503249,436043,464864,495181,513876,540887,439309,424728,492971,495586,397528
48,2,238,합정(2),977076,841067,687243,731744,779280,813195,881980,729371,659470,793449,801196,610162
49,2,239,홍대입구,2307081,1737137,1183377,1289217,1286057,1326513,1550960,1300959,1062806,1425857,1391129,961676
50,2,240,신촌,1290932,1022455,747433,798950,847258,863461,989690,830100,678769,848321,857643,665796
51,2,241,이대,459376,363854,241478,259322,298653,312075,337053,284908,262369,326589,336502,254238
52,2,242,아현,294248,246409,204387,218717,245991,263833,277213,233090,230223,263597,269874,219616
53,2,243,충정로(2),302466,268174,223065,223512,244127,258921,275501,228040,222347,248575,261024,215265
54,2,244,용답,82088,67568,61269,63751,70211,72406,77210,66077,64531,71672,73694,62395
55,2,245,신답,46880,41639,36946,37761,40286,42330,44279,37444,35571,39741,41050,35065
56,2,246,신설동(2),120150,97165,76973,83629,93881,93064,97932,79889,80090,92276,95790,77827
57,2,247,도림천,34795,31471,26732,27995,30203,33321,36892,31341,30028,32575,33493,30998
58,2,248,양천구청,209923,172622,138502,150449,169442,175676,189717,155414,148641,173953,176548,143395
59,2,249,신정네거리,284604,240224,200158,217258,242685,252186,270226,231286,221318,253532,255928,215089
60,2,250,용두,72580,58675,52437,54365,59080,60088,62858,55350,57128,58248,60248,53903
61,3,309,지축,60968,65543,69379,79082,87637,92543,96059,76105,75257,87699,86788,72690
62,3,310,구파발,645287,529489,431273,484476,537234,565032,598431,489558,469449,552827,544513,446004
63,3,311,연신내(3),1203743,1017601,874267,930356,1016524,1041915,1089427,917461,885308,1013612,1006336,845497
64,3,312,불광(3),511769,425080,361958,389055,432673,441492,458602,389302,381678,440570,438862,366843
65,3,313,녹번,403225,341491,293956,310848,341630,372027,402826,341493,330504,375295,384745,325580
66,3,314,홍제,534779,446222,381315,412845,458093,470013,488881,409749,399198,460408,461770,382395
67,3,315,무악재,118253,99603,84737,90459,99040,103339,109780,92017,88421,101963,103300,86321
68,3,316,독립문,225501,176112,147371,165295,188445,191533,200430,168387,163405,198980,191546,154879
