연번,호선,고유역번호(외부역코드),역명,수송연월,승차인원수
1,1,150,서울역(1),2022-01,1088949
2,1,151,시청(1),2022-01,507774
3,1,152,종각,2022-01,830732
4,1,153,종로3가(1),2022-01,656125
5,1,154,종로5가,2022-01,559733
6,1,155,동대문(1),2022-01,298111
7,1,156,신설동(1),2022-01,350672
8,1,157,제기동,2022-01,478656
9,1,158,청량리,2022-01,538777
10,1,159,동묘앞(1),2022-01,247026
11,2,201,시청(2),2022-01,533771
12,2,202,을지로입구,2022-01,947320
13,2,203,을지로3가(2),2022-01,531725
14,2,204,을지로4가(2),2022-01,308488
15,2,205,동대문역사문화공원(2),2022-01,321239
16,2,206,신당(2),2022-01,356353
17,2,207,상왕십리,2022-01,358216
18,2,208,왕십리(2),2022-01,407946
19,2,209,한양대,2022-01,164473
20,2,210,뚝섬,2022-01,544778
21,2,211,성수,2022-01,916248
22,2,212,건대입구(2),2022-01,964256
23,2,213,구의,2022-01,600164
24,2,214,강변,2022-01,791132
25,2,215,잠실나루,2022-01,346110
26,2,216,잠실(2),2022-01,1851542
27,2,217,잠실새내,2022-01,547082
28,2,218,종합운동장(2),2022-01,193603
29,2,219,삼성,2022-01,1277479
30,2,220,선릉,2022-01,1316432
31,2,221,역삼,2022-01,1234014
32,2,222,강남,2022-01,2205281
33,2,223,교대(2),2022-01,803529
34,2,224,서초,2022-01,528068
35,2,225,방배,2022-01,398230
36,2,226,사당(2),2022-01,949651
37,2,227,낙성대,2022-01,696895
38,2,228,서울대입구,2022-01,1224816
39,2,229,봉천,2022-01,604771
40,2,230,신림,2022-01,1649661
41,2,231,신대방,2022-01,680799
42,2,232,구로디지털단지,2022-01,1461253
43,2,233,대림(2),2022-01,619355
44,2,234,신도림,2022-01,1223122
45,2,235,문래,2022-01,516978
46,2,236,영등포구청(2),2022-01,558172
47,2,237,당산,2022-01,452325
48,2,238,합정(2),2022-01,828522
49,2,239,홍대입구,2022-01,1560626
50,2,240,신촌,2022-01,862740
51,2,241,이대,2022-01,321370
52,2,242,아현,2022-01,253327
53,2,243,충정로(2),2022-01,238079
54,2,244,용답,2022-01,73935
55,2,245,신답,2022-01,42143
56,2,246,신설동(2),2022-01,98828
57,2,247,도림천,2022-01,34818
58,2,248,양천구청,2022-01,173034
59,2,249,신정네거리,2022-01,262762
60,2,250,용두,2022-01,63847
61,3,309,지축,2022-01,112640
62,3,310,구파발,2022-01,524699
63,3,311,연신내(3),2022-01,944286
64,3,312,불광(3),2022-01,418526
65,3,313,녹번,2022-01,386546
66,3,314,홍제,2022-01,436636
67,3,315,무악재,2022-01,99512
68,3,316,독립문,2022-01,173296
69,3,317,경복궁,2022-01,492422
70,3,318,안국,2022-01,495666
71,3,319,종로3가(3),2022-01,249398
72,3,320,을지로3가(3),2022-01,250270
73,3,322,동대입구,2022-01,191854
74,3,323,약수(3),2022-01,326007
75,3,324,금호,2022-01,206255
76,3,325,옥수,2022-01,230860
77,3,326,압구정,2022-01,841177
78,3,327,신사,2022-01,827173
79,3,328,잠원,2022-01,119531
80,3,329,고속터미널(3),2022-01,1154523
81,3,330,교대(3),2022-01,334927
82,3,331,남부터미널,2022-01,731371
83,3,332,양재,2022-01,940251
84,3,333,매봉,2022-01,302906
85,3,334,도곡,2022-01,131405
86,3,335,대치,2022-01,306550
87,3,336,학여울,2022-01,48268
88,3,337,대청,2022-01,246201
89,3,338,일원,2022-01,241868
90,3,339,수서,2022-01,445944
91,3,340,가락시장(3),2022-01,229020
92,3,341,경찰병원,2022-01,181899
93,3,342,오금(3),2022-01,153595
94,4,409,당고개,2022-01,331508
95,4,410,상계,2022-01,483299
96,4,411,노원(4),2022-01,498307
97,4,412,창동,2022-01,666162
98,4,413,쌍문,2022-01,745606
99,4,414,수유,2022-01,870876
100,4,415,미아,2022-01,370014
101,4,416,미아사거리,2022-01,706265
102,4,417,길음,2022-01,507191
103,4,418,성신여대입구,2022-01,517545
104,4,419,한성대입구,2022-01,332253
105,4,420,혜화,2022-01,855994
106,4,421,동대문(4),2022-01,453279
107,4,422,동대문역사문화공원(4),2022-01,380745
108,4,423,충무로(4),2022-01,599615
109,4,424,명동,2022-01,468570
110,4,425,회현,2022-01,587008
111,4,426,서울역(4),2022-01,263604
112,4,427,숙대입구,2022-01,314909
113,4,428,삼각지(4),2022-01,124746
114,4,429,신용산,2022-01,411999
115,4,430,이촌,2022-01,197236
116,4,431,동작,2022-01,46026
117,4,432,이수(총신대입구),2022-01,483787
118,4,433,사당(4),2022-01,647791
119,4,434,남태령,2022-01,30874
120,5,2511,방화,2022-01,169178
121,5,2512,개화산,2022-01,140795
122,5,2513,김포공항(5),2022-01,217397
123,5,2514,송정,2022-01,170069
124,5,2515,마곡,2022-01,263805
125,5,2516,발산,2022-01,506717
126,5,2517,우장산,2022-01,358457
127,5,2518,화곡,2022-01,719400
128,5,2519,까치산(5),2022-01,740832
129,5,2520,신정,2022-01,346313
130,5,2521,목동,2022-01,421144
131,5,2522,오목교,2022-01,564129
132,5,2523,양평(5),2022-01,185098
133,5,2524,영등포구청(5),2022-01,101283
134,5,2525,영등포시장,2022-01,260911
135,5,2526,신길(5),2022-01,103079
136,5,2527,여의도(5),2022-01,680782
137,5,2528,여의나루,2022-01,225117
138,5,2529,마포,2022-01,349306
139,5,2530,공덕(5),2022-01,332349
140,5,2531,애오개,2022-01,164971
141,5,2532,충정로(5),2022-01,110999
142,5,2533,서대문,2022-01,437137
143,5,2534,광화문,2022-01,708633
144,5,2535,종로3가(5),2022-01,340098
145,5,2536,을지로4가(5),2022-01,145018
146,5,2537,동대문역사문화공원(5),2022-01,70551
147,5,2538,청구(5),2022-01,99944
148,5,2539,신금호,2022-01,157212
149,5,2540,행당,2022-01,204546
150,5,2541,왕십리(5),2022-01,122076
151,5,2542,마장,2022-01,149185
152,5,2543,답십리,2022-01,419387
153,5,2544,장한평,2022-01,467269
154,5,2545,군자(5),2022-01,292048
155,5,2546,아차산,2022-01,382925
156,5,2547,광나루,2022-01,336065
157,5,2548,천호(5),2022-01,491557
158,5,2549,강동,2022-01,472106
159,5,2550,길동,2022-01,209835
160,5,2551,굽은다리,2022-01,247499
161,5,2552,명일,2022-01,219746
162,5,2553,고덕,2022-01,234024
163,5,2554,상일동,2022-01,386157
164,5,2555,둔촌동,2022-01,222715
165,5,2556,올림픽공원(5),2022-01,106104
166,5,2557,방이,2022-01,186951
167,5,2558,오금(5),2022-01,90227
168,5,2559,개롱,2022-01,158792
169,5,2560,거여,2022-01,231439
170,5,2561,마천,2022-01,174515
171,5,2562,강일,2022-01,99935
172,5,2563,미사,2022-01,416316
173,5,2564,하남풍산,2022-01,106863
174,5,2565,하남시청,2022-01,168829
175,5,2566,하남검단산,2022-01,152563
176,6,2611,응암,2022-01,448267
177,6,2612,역촌,2022-01,97573
178,6,2613,불광(6),2022-01,113501
179,6,2614,독바위,2022-01,69963
180,6,2616,구산,2022-01,190576
181,6,2617,새절,2022-01,318255
182,6,2618,증산,2022-01,257931
183,6,2619,디지털미디어시티(6),2022-01,331170
