"가정별","성별","연령별",2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","계",51361911,51585058,51764822,51836239,51744876,51628117,51558034,51500029,51447504,51397309,51348388
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","0 - 4세",2151219,2038736,1930344,1776616,1617527,1483112,1374609,1284066,1227951,1205329,1209187
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","5 - 9세",2308987,2288927,2276175,2278285,2229491,2141600,2024713,1908356,1755756,1596336,1467870
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","10 - 14세",2264077,2267391,2241561,2250969,2296616,2309760,2286695,2270158,2268551,2218636,2133675
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","15 - 19세",2982455,2820005,2685976,2518218,2345904,2278815,2281595,2257218,2257809,2302121,2317734
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","20 - 24세",3529657,3498197,3439052,3392351,3278877,3099640,2914183,2772090,2597427,2439571,2385467
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","25 - 29세",3368161,3493062,3587776,3645542,3672722,3624252,3562623,3483125,3422562,3333978,3181511
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","30 - 34세",3491542,3360617,3306462,3307803,3302395,3380219,3483644,3561503,3613585,3659920,3627338
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","35 - 39세",4054300,4095610,4051769,3866979,3678606,3474135,3322429,3258043,3262319,3272994,3359718
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","40 - 44세",4078404,3951400,3847859,3872171,3941302,4028942,4055406,4003363,3827686,3651778,3455970
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","45 - 49세",4506942,4553179,4487622,4385732,4210888,4057029,3921880,3816168,3852109,3929899,4025505
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","50 - 54세",4163840,4122273,4297890,4338269,4423203,4481723,4517041,4445725,4354882,4189556,4045100
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","55 - 59세",4225899,4340508,4295393,4237067,4111535,4106280,4061077,4231801,4278091,4370025,4436508
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","60 - 64세",3170368,3389068,3627949,3814370,4064463,4144198,4252206,4200087,4143522,4029785,4032306
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","65 - 69세",2286519,2356588,2448622,2662232,2895582,3063244,3273593,3507325,3685447,3933261,4017343
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","70 - 74세",1756800,1795390,1886106,1990347,2090931,2167931,2240360,2328861,2533229,2758924,2924439
