"운영기관별(1)",2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021
"운영기관별(1)",운임손실 (원),수송원가 (원),평균운임 (원),기본운임 (원),운임손실 (원),수송원가 (원),평균운임 (원),기본운임 (원),운임손실 (원),수송원가 (원),평균운임 (원),기본운임 (원),운임손실 (원),수송원가 (원),평균운임 (원),기본운임 (원),운임손실 (원),수송원가 (원),평균운임 (원),기본운임 (원)
"서울교통공사",499,1441,942,1250,510,1456,946,1250,501,1446,945,1250,1128,2081,953,1250,1005,2003,998,1250
"서울메트로 9호선㈜",300,1294,994,1250,369,1336,967,1250,347,1329,982,1250,689,1690,1001,1250,672,1668,996,1250
"서울교통공사9호선운영부문",268,1317,1049,1250,288,1333,1045,1250,24,1037,1013,1250,341,1359,1018,1250,292,1305,1013,1250
"부산교통공사",1113,1907,794,1300,1171,1982,811,1300,1138,1926,788,1300,2059,2834,775,1300,2090,2857,767,1300
"대구도시철도공사",1882,2634,752,1250,1902,2643,741,1250,2004,2725,721,1250,3566,4266,700,1250,3255,3949,694,1250
"인천교통공사",1069,1787,718,1250,1184,1931,747,1250,1117,1910,793,1250,1742,2590,848,1250,1928,2769,841,1250
"광주광역시 도시철도공사",3907,5193,1286,1250,4119,5373,1254,1250,4088,5339,1251,1250,6302,7826,1524,1250,6310,7725,1415,1250
"대전교통공사",1918,2684,766,1250,1980,2736,756,1250,1999,2747,748,1250,3692,4462,770,1250,3583,4350,767,1250
"부산-김해 경전철(주)",1489,2529,1040,1400,1453,2515,1062,1400,1551,2612,1061,1400,2734,3795,1061,1400,2749,3795,1046,1400
"의정부경량전철㈜",-,-,704,1350,-,-,690,1350,1403,2093,690,1550,1952,2744,792,1550,1389,2144,755,1550
"용인 경량전철㈜",2041,2788,747,1450,1580,2330,750,1450,1428,2185,757,1450,2354,3112,758,1450,2016,2768,752,1450
"우이 신설경전철(주)",2067,2841,774,1250,1204,1974,770,1250,1058,1813,755,1250,1538,2300,762,1250,1494,2246,752,1250
"김포골드라인(주)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,812,1620,808,1250
