운영기관별(1),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
운영기관별(1),영업수입,영업수입,영업수입,영업비용,영업비용,영업비용,영업손익,영업외수익,영업외비용,경상손익,영업수입,영업수입,영업수입,영업비용,영업비용,영업비용,영업손익,영업외수익,영업외비용,경상손익,영업수입,영업수입,영업수입,영업비용,영업비용,영업비용,영업손익,영업외수익,영업외비용,경상손익,영업수입,영업수입,영업수입,영업비용,영업비용,영업비용,영업손익,영업외수익,영업외비용,경상손익,영업수입,영업수입,영업수입,영업비용,영업비용,영업비용,영업손익,영업외수익,영업외비용,경상손익,영업수입,영업수입,영업수입,영업비용,영업비용,영업비용,영업손익,영업외수익,영업외비용,경상손익
운영기관별(1),소계,운수사업수익,기타사업수익,소계,인건비,경비,소계,소계,소계,소계,소계,운수사업수익,기타사업수익,소계,인건비,경비,소계,소계,소계,소계,소계,운수사업수익,기타사업수익,소계,인건비,경비,소계,소계,소계,소계,소계,운수사업수익,기타사업수익,소계,인건비,경비,소계,소계,소계,소계,소계,운수사업수익,기타사업수익,소계,인건비,경비,소계,소계,소계,소계,소계,운수사업수익,기타사업수익,소계,인건비,경비,소계,소계,소계,소계
서울메트로,12493,10423,2070,13002,6705,6297,-509,239,852,-1122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
서울교통공사,-,-,-,-,-,-,-,-,-,-,19673,16165,3508,24892,12911,11981,-5219,772,807,-5254,19865,16234,3631,25187,12748,12439,-5322,1684,1751,-5389,20046,16367,3679,25370,12602,12768,-5324,504,1045,-5865,15595,11932,3663,26497,13551,12946,-10902,507,743,-11138,16291,12542,3749,25676,12267,13409,-9385,511,770,-9644
서울특별시 도시철도공사,7220,6082,1138,10016,4797,5219,-2796,372,304,-2728,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
서울메트로 9호선㈜,1039,909,130,1250,16,1234,-211,468,324,-67,1074,943,131,1260,16,1244,-186,382,306,-110,1077,926,151,1250,17,1233,-173,412,317,-78,1131,984,147,1283,212,1071,-152,379,337,-110,899,758,141,1275,378,897,-376,430,298,-244,926,788,138,1318,404,914,-392,536,289,-145
서울교통공사9호선운영부문,144,144,-,143,56,87,-1,1,-,-2,190,190,-,186,71,115,-4,1,-,-5,232,232,-,226,86,140,-6,3,-,-9,329,329,-,319,102,217,-10,-,10,-,357,357,-,347,118,229,10,-,10,-,281,274,7,407,134,273,-126,-,-,-126
부산교통공사,2938,2523,415,5736,2788,2948,-2798,1438,4,-1364,3136,2691,445,6484,3438,3046,-3348,1857,2,-1493,3137,2725,412,6690,3398,3292,-3553,1907,14,-1660,3112,2698,414,6621,3240,3382,-3509,1988,4,-1525,2282,1910,372,6991,3654,3337,-4709,2109,34,-2634,2298,1948,350,7232,3824,3408,-4934,3111,125,-1948
대구도시철도공사,1774,1670,104,3959,1618,2341,-2185,859,23,-1349,1972,1863,109,4318,1825,2493,-2346,842,89,-1593,2048,1936,112,4316,1740,2576,-2268,857,69,-1480,2063,1938,125,4570,2032,2538,-2507,1151,40,-1396,1420,1306,114,4707,2108,2599,-3287,1280,55,-2062,1596,1457,139,4826,2257,2569,-3230,1364,69,-1935
